Date,Open,High,Low,Close,Adj Close,Volume,Name
2/11/2021,1.159.359.985,1.208.589.966,1.146.000.000,1.172.000.000,1.172.000.000,42737800,TLSA
3/11/2021,1.177.329.956,1.215.390.015,1.152.619.995,1.213.859.985,1.213.859.985,34628500,TLSA
4/11/2021,1.234.410.034,1.243.489.990,1.217.000.000,1.229.910.034,1.229.910.034,25397400,TLSA
5/11/2021,1.228.000.000,1.239.869.995,1.208.000.000,1.222.089.966,1.222.089.966,21579900,TLSA
8/11/2021,1.149.790.039,1.197.000.000,1.133.000.000,1.162.939.941,1.162.939.941,33445700,TLSA
9/11/2021,1.173.599.976,1.174.500.000,1.011.520.020,1.023.500.000,1.023.500.000,59105800,TLSA
10/11/2021,1.010.409.973,1.078.099.976,987.309.998,1.067.949.951,1.067.949.951,42802700,TLSA
11/11/2021,1.102.770.020,1.104.969.971,1.054.680.054,1.063.510.010,1.063.510.010,22396600,TLSA
12/11/2021,1.047.500.000,1.054.500.000,1.019.200.012,1.033.420.044,1.033.420.044,25182300,TLSA
15/11/2021,1.017.630.005,1.031.979.980,978.599.976,1.013.390.015,1.013.390.015,34775600,TLSA
16/11/2021,1.003.309.998,1.057.199.951,1.002.179.993,1.054.729.980,1.054.729.980,26542400,TLSA
17/11/2021,1.063.510.010,1.119.640.015,1.055.500.000,1.089.010.010,1.089.010.010,31445400,TLSA
18/11/2021,1.106.550.049,1.112.000.000,1.075.020.020,1.096.380.005,1.096.380.005,20898900,TLSA
19/11/2021,1.098.869.995,1.138.719.971,1.092.699.951,1.137.060.059,1.137.060.059,21642300,TLSA
22/11/2021,1.162.329.956,1.201.949.951,1.132.430.054,1.156.869.995,1.156.869.995,33072500,TLSA
23/11/2021,1.167.510.010,1.180.500.000,1.062.699.951,1.109.030.029,1.109.030.029,36171700,TLSA
24/11/2021,1.080.390.015,1.132.770.020,1.062.000.000,1.116.000.000,1.116.000.000,22560200,TLSA
26/11/2021,1.099.469.971,1.108.780.029,1.081.000.000,1.081.920.044,1.081.920.044,11680900,TLSA
29/11/2021,1.100.989.990,1.142.670.044,1.100.189.941,1.136.989.990,1.136.989.990,19464500,TLSA
30/11/2021,1.144.369.995,1.168.000.000,1.118.000.000,1.144.760.010,1.144.760.010,27092000,TLSA
1/12/2021,1.160.699.951,1.172.839.966,1.090.760.010,1.095.000.000,1.095.000.000,22816800,TLSA
2/12/2021,1.099.060.059,1.113.000.000,1.056.650.024,1.084.599.976,1.084.599.976,24371600,TLSA
3/12/2021,1.084.790.039,1.090.579.956,1.000.210.022,1.014.969.971,1.014.969.971,30696300,TLSA
6/12/2021,1.001.510.010,1.021.640.015,950.500.000,1.009.010.010,1.009.010.010,27221000,TLSA
7/12/2021,1.044.199.951,1.057.670.044,1.026.810.059,1.051.750.000,1.051.750.000,18694900,TLSA
8/12/2021,1.052.709.961,1.072.380.005,1.033.000.000,1.068.959.961,1.068.959.961,13968800,TLSA
9/12/2021,1.060.640.015,1.062.489.990,1.002.359.985,1.003.799.988,1.003.799.988,19812800,TLSA
10/12/2021,1.008.750.000,1.020.979.980,982.530.029,1.017.030.029,1.017.030.029,19855000,TLSA
13/12/2021,1.001.090.027,1.005.000.000,951.419.983,966.409.973,966.409.973,26198500,TLSA
14/12/2021,945.000.000,966.409.973,930.000.000,958.510.010,958.510.010,23602100,TLSA
15/12/2021,953.210.022,978.750.000,928.250.000,975.989.990,975.989.990,25056400,TLSA
16/12/2021,994.500.000,994.979.980,921.849.976,926.919.983,926.919.983,27590500,TLSA
17/12/2021,914.770.020,960.659.973,909.039.978,932.570.007,932.570.007,33479100,TLSA
20/12/2021,910.700.012,921.690.002,893.390.015,899.940.002,899.940.002,18826700,TLSA
21/12/2021,916.869.995,939.500.000,886.119.995,938.530.029,938.530.029,23839300,TLSA
22/12/2021,965.659.973,1.015.659.973,957.049.988,1.008.869.995,1.008.869.995,31211400,TLSA
23/12/2021,1.006.799.988,1.072.979.980,997.559.998,1.067.000.000,1.067.000.000,30904400,TLSA
27/12/2021,1.073.670.044,1.117.000.000,1.070.719.971,1.093.939.941,1.093.939.941,23715300,TLSA
28/12/2021,1.109.489.990,1.119.000.000,1.078.420.044,1.088.469.971,1.088.469.971,20108000,TLSA
29/12/2021,1.098.640.015,1.104.000.000,1.064.140.015,1.086.189.941,1.086.189.941,18718000,TLSA
30/12/2021,1.061.329.956,1.095.550.049,1.053.150.024,1.070.339.966,1.070.339.966,15680300,TLSA
31/12/2021,1.073.439.941,1.082.000.000,1.054.589.966,1.056.780.029,1.056.780.029,13577900,TLSA
3/01/2022,1.147.750.000,1.201.069.946,1.136.040.039,1.199.780.029,1.199.780.029,34643800,TLSA
4/01/2022,1.189.550.049,1.208.000.000,1.123.050.049,1.149.589.966,1.149.589.966,33416100,TLSA
5/01/2022,1.146.650.024,1.170.339.966,1.081.010.010,1.088.119.995,1.088.119.995,26706600,TLSA
6/01/2022,1.077.000.000,1.088.000.000,1.020.500.000,1.064.699.951,1.064.699.951,30112200,TLSA
7/01/2022,1.080.369.995,1.080.930.054,1.010.000.000,1.026.959.961,1.026.959.961,27919000,TLSA
10/01/2022,1.000.000.000,1.059.099.976,980.000.000,1.058.119.995,1.058.119.995,30605000,TLSA
11/01/2022,1.053.670.044,1.075.849.976,1.038.819.946,1.064.400.024,1.064.400.024,22021100,TLSA
12/01/2022,1.078.849.976,1.114.839.966,1.072.589.966,1.106.219.971,1.106.219.971,27913000,TLSA
